label,g,t,latents
riot,1,2,"[-0.9229614734649658, 0.982131838798523, -0.05079462751746178, -0.4289714992046356, 0.9678685665130615, 0.9293504357337952, -0.9612232446670532, 0.09011225402355194]"
riot,1,0,"[-0.9837027788162231, 0.8833892941474915, 0.7378191947937012, -0.7292907238006592, 0.9453665614128113, 0.9780826568603516, -0.7432239055633545, 0.3944961726665497]"
kingoftone,1,1,"[-0.21154046058654785, 0.8615636825561523, 0.7249689102172852, 0.30412042140960693, -0.9259129762649536, 0.8508244156837463, -0.3517521619796753, 0.8052736520767212]"
riot,5,5,"[0.9785789847373962, 0.9636486172676086, -0.9661413431167603, -0.7767819762229919, 0.9718923568725586, 0.6763949394226074, 0.9802870154380798, 0.637493371963501]"
kingoftone,3,3,"[0.9182769656181335, 0.17695961892604828, 0.9400510787963867, 0.9069308042526245, -0.9657747149467468, 0.7742832899093628, 0.5370827913284302, 0.9522420763969421]"
kingoftone,2,1,"[0.32769760489463806, 0.7943263053894043, 0.761827826499939, 0.7088496685028076, -0.956945538520813, 0.9618117213249207, -0.2909264862537384, 0.8872367143630981]"
fuzz,2,4,"[-0.6548190116882324, -0.1437549740076065, -0.13439221680164337, 0.7783401012420654, -0.920049786567688, 0.9052826762199402, -0.9243356585502625, 0.8787912130355835]"
riot,0,2,"[0.5209564566612244, 0.8810467720031738, -0.559019923210144, 0.9294512867927551, 0.9628173112869263, 0.9809348583221436, -0.9681435823440552, 0.5578306913375854]"
kingoftone,4,0,"[0.9315124750137329, -0.7418175935745239, 0.696064829826355, 0.9496898651123047, -0.9932974576950073, 0.7514686584472656, 0.48326021432876587, 0.96260666847229]"
fuzz,0,5,"[0.07733944058418274, 0.625000536441803, -0.23145541548728943, 0.8054491877555847, -0.8260446786880493, 0.9180089235305786, -0.873052179813385, 0.9063341617584229]"
riot,5,3,"[0.9325694441795349, 0.952678918838501, -0.8019876480102539, 0.021376103162765503, 0.975649893283844, 0.8527630567550659, 0.9209322333335876, 0.9120615124702454]"
fuzz,1,5,"[-0.06850653886795044, 0.5776636004447937, -0.32110920548439026, 0.7879510521888733, -0.8646667003631592, 0.9038274884223938, -0.9146735668182373, 0.8947669267654419]"
fuzz,0,4,"[0.18407729268074036, 0.4950011968612671, -0.393745094537735, 0.829355776309967, -0.8093485832214355, 0.8538188934326172, -0.9263970255851746, 0.8919655680656433]"
riot,3,2,"[-0.172281876206398, 0.918661892414093, 0.8701142072677612, -0.6571480631828308, 0.9295539855957031, 0.9852808117866516, 0.9251114726066589, 0.6821191906929016]"
riot,4,0,"[0.7016524076461792, 0.8966298699378967, 0.36746346950531006, 0.32696235179901123, 0.9479550719261169, 0.9791779518127441, 0.8142977952957153, 0.8789574503898621]"
kingoftone,1,5,"[0.4586683213710785, 0.8556872010231018, 0.8683440089225769, 0.6279721260070801, -0.9662823677062988, 0.8663915395736694, 0.041847579181194305, 0.902679443359375]"
riot,0,5,"[0.7174450159072876, 0.9703825116157532, -0.8308243751525879, 0.8248128294944763, 0.9808564186096191, 0.9731892347335815, -0.9876205921173096, -0.8207691311836243]"
kingoftone,1,4,"[0.24349664151668549, 0.8793964982032776, 0.7786760926246643, 0.585074782371521, -0.9549530148506165, 0.8853020071983337, -0.17123444378376007, 0.8876602053642273]"
fuzz,4,1,"[-0.995363712310791, -0.981993556022644, 0.9001765847206116, -0.9829555749893188, -0.9420091509819031, -0.6727495193481445, 0.9847999811172485, -0.5831525325775146]"
riot,1,4,"[-0.9967926740646362, 0.9692662358283997, 0.7674177289009094, -0.9364143013954163, 0.9799055457115173, 0.9657195210456848, -0.8910368084907532, -0.7398438453674316]"
